Medio,Firma
El Sol de México,A la sombra
24 Horas,¿Será?
El Financiero,Óscar Mario Beteta
Heraldo Radio,Óscar Mario Beteta
Diario Basta!,Óscar Reyes
El Universal Hidalgo,Álvaro Bardáles
La Opinión de Hidalgo,Ángel Fernández
Cumbres de Hidalgo,Ángel Flores
Zagazine,Ángel Hernández
Zunoticia,Ángel Silverio
Eme Equis,Áxel Chávez
Proceso,Áxel Chávez
El Nuevo Gráfico de Hidalgo,Aída Gálvez
Alas,Aída Suárez
El Universal Hidalgo,Aída Suárez
Info Libre,Aída Suárez
Nodo TV,Aarón Oviedo
Plaza Juárez,Abel Ricardo Flores
Vía Libre,Aberto Witvrun
Hidalgo Hoy,Abigail Santos
Red Hidalgo,Abigail Santos
Nodo TV,Abraham Meneses
Zagazine,Abril Delgado
Bóveda informativa,Abril Fragoso
La Jornada Hidalgo,Adela Garmez
La Jornada Hidalgo web,Adela Garmez
Solución,Adile Carrillo
24 Horas,Adrián Trejo
Heraldo Radio,Adriana Delgado
La Jornada Hidalgo,Adriana Patlán
Milenio Hidalgo,Alan Austria
Acrópolis,Alan Jiménez
La Prensa,Alberto Aguilar
Bóveda informativa,Alberto Escamilla
Bóveda informativa,Alberto Garnica
Voces Hidalgo,Alberto Garrido
Vocales radio web,Alberto González
Central MX,Alberto Skewes
Central MX web,Alberto Skewes
La Jornada Hidalgo,Alberto Witvrun
ADN 40,Alejandra Molina
ADN 40,Alejandro Brofft
Milenio TV,Alejandro Domínguez
Quadratín,Alejandro Gálvez
Facetas,Alejandro Paredes
Milenio Hidalgo,Alejandro Reyes
Milenio web,Alejandro Reyes
Criterio,Alejandro Velázquez
Criterio web,Alejandro Velázquez
88.9 Noticias,Alejandro Vilallvazo
TV Azteca,Alejandro Villalvazo
La Jornada Hidalgo,Alexander Mendoza
La Jornada Hidalgo web,Alexander Mendoza
Pachuca brilla,Alfonso Rivera
Milenio Hidalgo,Alfonso Torres
Milenio Hidalgo,Alfredo Alcalá
Enfoque Noticias,Alicia Salgado
El Sol de Hidalgo,Alma Leticia Sánchez
El Sol de Hidalgo web,Alma Leticia Sánchez
El Sol de México,Alma Leticia Sánchez
Milenio TV,Alma Paola Wong
La Jornada Hidalgo,América Castillo
La Jornada Hidalgo web,América Castillo
MVS Radio,Ana Francisca Vega
Telediario,Ana Laura Alanís
Foro TV,Ana Lucía Ordoñana
Plaza Juárez,Ana Luisa Vega
Énfasis,Ana María Osorio
Infobae,Anayeli Tapia
Vocales radio web,Andrés Torres
Nodo TV,Andrea Meneses
Hidalgo Hoy,Andrea Ramírez
La Opinión de Hidalgo,Andrea Ramírez
Red Hidalgo,Andrea Ramírez
El Rollo,Angélica Hernández
Canal once,Angélica Rivera
V a Libre, ngel Bautista
TV Azteca,Anna Lu González
La Jornada Hidalgo,Antonio Bautista
La Jornada Hidalgo web,Antonio Bautista
Expediente Ultra,Antonio Ortigoza
El Sol de Hidalgo,Aquí los políticos
El Sol de Tulancingo,Aquí los políticos
El Universal Hidalgo,Ariana Reséndiz
El Universal Hidalgo web,Ariana Reséndiz
Código Hidalgo,Armando Lorenzo
Marfeca,Arturo Cruz
La Razón web,Arturo Meléndez
AM Hidalgo,Asteriscos
Excélsior,Atalo Mata
Excélsior web,Atalo Mata
Criterio,Aunard de la Rocha
Crónica web,Aura Mejía
Radio Fórmula,Azucena Uresti
El Universal Hidalgo,Bajo Reserva
Reforma,Benito Jiménez
Reforma web,Benito Jiménez
La Jornada Hidalgo,Benjamín H. V.
Enfoque Hidalgo,Benjamín Hernández
Criterio,Berenice Estrada
Subrayado,Berenice Gamboa
Criterio,Bertha Alfaro
Foro TV,Bertha Alfaro
Televisa,Bertha Alfaro
Milenio Hidalgo,Bertha Orozco
Heraldo Televisión,Blanca Becerril
Heraldo Televisión,Blanca Becerril
El Sol de Hidalgo,Blanca Soriano
El Sol de Hidalgo web,Blanca Soriano
El Sol de Tulancingo,Blanca Soriano
El Sol de Tulancingo web,Blanca Soriano
La Jornada Hidalgo,Brenda Flores
El Sol de Hidalgo,César Martínez
El Sol de Hidalgo web,César Martínez
La Jornada Hidalgo,César Ruiz
La Jornada Hidalgo web,César Ruiz
Canal once,Carla Contreras
Effetá,Carlos Barra Moulain
La Jornada Hidalgo,Carlos Camacho
Revista Vía Libre,Carlos Camacho
Criterio,Carlos Cisneros
Criterio web,Carlos Cisneros
Criterio,Carlos García
Criterio web,Carlos García
Televisa,Carlos Hurtado
Telediario,Carlos Jiménez
W Radio,Carlos Loret de Mola
El Heraldo de México,Carlos Navarro
Voces Hidalgo,Carlos Pérez Andalón
LM Noticias,Carlos Pozos
¡Órale! Magacín,Carlos Sevilla
Info Libre manteleta,Carlos Sevilla
Milenio TV,Carlos Zúñiga
Telediario,Carlos Zúñiga
AMX Noticias,Carmen Gudiño
Criterio,Carmen Hernández
Criterio web,Carmen Hernández
TV Azteca,Carolina Rocha
Milenio TV,Cecilia Salamanca
TV Azteca,Christian Lara
El Universal Hidalgo,Cinthya Carbajal
El Universal Hidalgo web,Cinthya Carbajal
Radio Fórmula,Ciro Gómez Leyva
Telefórmula,Ciro Gómez Leyva
La Razón,Claudia Arellano
La Razón web,Claudia Arellano
ADN 40,Claudia Echeverry
Reforma,Claudia Guerrero
Reforma web,Claudia Guerrero
Central MX,Claudia Martínez
Effetá,Claudia Martínez
El Financiero,Confidencial
Al Día Noticias,Cris Huerta
Al Día Noticias web,Cris Huerta
La Silla Rota Hidalgo,Cristian Estefes
La Jornada Hidalgo web,Cronómetro
Imagen TV,Crystal Mendivil
El Heraldo de México,Cuauhtémo Ochoa
La Jornada Hidalgo,Daniel Fragoso
Ultra Noticias,Daniel Martínez
Publimedios Móvil,Daniel Meléndez
Pensador hidalguense,Daniel Rodríguez
El Sol de Hidalgo,Daniel Román Montes
El Sol de Hidalgo web,Daniel Román Montes
El Sol de Tulancingo,Daniel Román Montes
El Sol de Tulancingo web,Daniel Román Montes
Foro TV,Daniela Baeza
Foro TV,Daniela Baeza
Radio Fórmula,Danielle Dithurbide
Televisa,Danielle Dithurbide
Milenio TV,Dany Martín
El Heraldo de México,Darío Celis
Imagen radio,Darío Celis
Heraldo Televisión,Dario Celís
Milenio Hidalgo,David Cárdenas
Telediario,David Medrano
Nodo TV,David Rojo
Vocales radio web,David Tenorio
Excélsior,David Vicenteño
Imagen radio,David Vicenteño
El Financiero,De Jefes
Plaza Juárez,Dese por enterado
Subrayado,Diego Leiza
Plétora Lex,Diego Sosa
Plétora Lex web,Diego Sosa
La Jornada Hidalgo,Dino Madid
El Gráfico,Dinorath Mota
El Universal,Dinorath Mota
El Universal web,Dinorath Mota
Ruta,Dinorath Mota
Ruta web,Dinorath Mota
24 Horas,Dolores Colín
Hidalgo Hoy,Dulce Castillo
La Jornada Hidalgo,Dulce Castillo
La Jornada Hidalgo web,Dulce Castillo
Red Hidalgo,Dulce Castillo
¡Órale! Magacín,Editorial
Acción,Editorial
Effetá,Editorial
Plaza Juárez,Editorial
SDP Noticias,Edmundo Morelos
El Sol de Tulancingo,Eduardo Islas
El Sol de Tulancingo web,Eduardo Islas
SDP Noticias,Eduardo Mendoza
Radio Fórmula,Eduardo Ruiz Healy
Telefórmula,Eduardo Ruiz-Healy
Hidalgo Hoy,Eduardo Sánchez
La Opinión de Hidalgo,Eduardo Sánchez
Red Hidalgo,Eduardo Sánchez
Foro TV,Eduardo Salazar
Televisa,Eduardo Salazar
Vocales radio web,El AEIOU
El Bocón,El Bocón
El Heraldo de México,"El bueno, el malo, el feo"
El Cardinal,El Cardinalito
La Silla Rota Hidalgo,El Centinela
Effetá,El Conspirador
Central MX,El correo de las brujas
Florentino Peralta,El Graderío
Antena informativa de Hidalgo,El Lagarto
Milenio Hidalgo,El pájaro carpintero
Plaza Juárez,El pequeño Timmy
La Jornada Hidalgo,El Reloj
Es Periodismo,El run run
Milenio TV,Elisa Alanís
La Silla Rota Hidalgo,Emily Morales
EA Noticias,Emmanuel Ameth
Excélsior,Emmanuel Rincón
Excélsior web,Emmanuel Rincón
Al Día Noticias,En la Mira
Zunoticia,Enedino Hernández
Radio Fórmula,Enrique Acevedo
Televisa,Enrique Acevedo
Foro TV,Enrique Campos
Televisa,Enrique Campos
Subrayado Magazine,Enrique Gutiérrez
W Radio,Enrique Hernández Alcázar
El Universal Hidalgo,Enrique López
El Universal Hidalgo,Enrique Morán
La Jornada Hidalgo,Enrique Rivas Paniagua
Imagen TV,Enrique Sánchez
Vía Libre,Erick Morales
Foro TV,Erik Camacho
Hidalgo Noticias,Erik Martínez
Quadratín,Erika García
El Universal Hidalgo,Erika Gutiérrez
El Universal Hidalgo web,Erika Gutiérrez
El País,Erika Rosete
Foro TV,Esteban Arce
Imagen radio,Esteban Arce
El Universal Hidalgo,Estephany Espinosa
Zagazine,Fabián González
Criterio,Federico Escamilla
Criterio web,Federico Escamilla
Foro TV,Fernanda Calderón
El Sol de Hidalgo,Fernanda Huerta
El Sol de Hidalgo web,Fernanda Huerta
El Sol de Tulancingo,Fernanda Huerta
El Sol de Tulancingo web,Fernanda Huerta
Quadratín,Fernanda Martínez
Telediario,Fernanda Tapia
Central MX,Fernando Hidalgo
Síntesis,Fernando Muñoz
Síntesis web,Fernando Muñoz
Milenio TV,Fernando Robles
Telediario,Fernando Robles
Al Día Noticias,Filiberto Monter
Al Día Noticias web,Filiberto Monter
Foro TV,Florencia de Rodas
Foro TV,Florencia de Rodas
Florentino Peralta,Florentino Peralta
Criterio,Fortino Moedano
El Universal Hidalgo,Francisco Bautista
El Universal Hidalgo web,Francisco Bautista
Hidalgo Sport,Francisco Lozada
Milenio Hidalgo,Francisco Villeda
Milenio web,Francisco Villeda
Nueva Imagen de Hidalgo,Francisco Villeda
Imagen radio,Francisco Zea
Imagen TV,Francisco Zea
Reforma,Fray Bartolomé
Excélsior,Frentes políticos
Zunoticia,Gabriela Hernández
W Radio,Gabriela Warkentin
Síntesis web,Georgina Obregón
Acrópolis,Gerardo Ávila
Crónica web,Gerardo Mayoral
Foro TV,Gina Holguín
El Economista web,Gobierno de Hidalgo
El Universal Hidalgo,Grisel Lira
El Universal Hidalgo web,Grisel Lira
Canal once,Guadalupe Contreras
Milenio,Guadalupe Trejo
Milenio Hidalgo,Guadalupe Trejo
Milenio TV,Guadalupe Trejo
Milenio web,Guadalupe Trejo
Telediario,Guadalupe Trejo
Criterio,Guillermo Corrales
El Sol de Hidalgo,Gustavo Vargas
El Sol de Hidalgo web,Gustavo Vargas
El Sol de Tulancingo,Gustavo Vargas
El Sol de Tulancingo web,Gustavo Vargas
El Sol de Hidalgo,Héctor Santoy
El Sol de Hidalgo web,Héctor Santoy
El Sol de Tulancingo,Héctor Santoy
El Sol de Tulancingo web,Héctor Santoy
Milenio TV,Héctor Zamarrón
ADN 40,Hannia Novell
Heraldo Radio,Heriberto Vázquez
ADN 40,Hernán Hochstrasser
Foro TV,Humberto Blizzard
Foro TV,Humberto Blizzard
88.9 Noticias,Iñaki Manero
El Heraldo digital,Ignacio García
Heraldo Televisión,Ignacio García
La Espina,Ignacio González
Imagen TV,Ignacio Lozano
Bóveda informativa,Ingrid Lora
Telediario,Isa Ross
Central Hidalgo,Isaac Vidal
Amaneciendo,Itzel G. Bandala
Subrayado,Ivonne Pérez
Ultra Noticias,Izza Hernández
Telefórmula,Jóse Cárdenas
Milenio TV,Jaime Núñez
Radio Fórmula,Jaime Núñez
Telediario,Jaime Núñez
Hidalgo Hoy,Jair Velázquez
La Opinión de Hidalgo,Jair Velázquez
Red Hidalgo,Jair Velázquez
88.9 Noticias,Jaquelin Servín
Infobae,Jaqueline Viedma
Heraldo Radio,Javier Alatorre
TV Azteca,Javier Alatorre
Plaza Juárez,Javier E. Peralta
El Universal Hidalgo,Javier Quezada
El Universal Hidalgo web,Javier Quezada
ADN 40,Javier Risco
Radio Fórmula,Javier Risco
Heraldo Radio,Javier Solórzano
Heraldo Televisión,Javier Solórzano
Uno TV,Jennifer Turrubiartes
Nueva Imagen de Hidalgo,Jesús García
Criterio,Jesús León
Criterio web,Jesús León
NQ radio web,Jesús Riveros
Plaza Juárez,Jesús Riveros
Crónica web,Jesús Sánchez
La Silla Rota Hidalgo,Jessica Manilla
Marfeca,Jimena Beltrán
Radio Fórmula,Joaquín López Dóriga
Telefórmula,Joaquín López-Dóriga
Avanzando,Joel Sánchez
Avanzando web,Joel Sánchez
Radar político,Joel Sánchez
Milenio TV,Joel Valdez
Telediario,Joel Valdez
HgOnline,Jonathan Torres
