Medio,Firma
La Jornada Hidalgo,Jorge A. Romero
Canal once,Jorge Armando Rocha
Effetá,Jorge Carrasco
La Jornada Hidalgo,Jorge González Correa
Central Hidalgo,Jorge Guzmán
Es periodismo,Jorge Luis Pérez
TV Azteca,Jorge Zarza
Marfeca,José Alberto Suárez
El Cardinal,José Antonio Alcaraz
Telefórmula,José Antonio Ezquerra
Radio Fórmula,José Cárdenas
El Heraldo de México,José Ignacio García
W Radio,José Ignacio García
Foro TV,José Luis Arévalo
ADN 40,José Luis Mora
AM Hidalgo,José Luis Rico
Criterio,José Raquel Badillo
24 Horas,José Ureña
Radio Fórmula,José Yuste
La Jornada Hidalgo,Joselyn Sánchez
La Jornada Hidalgo web,Joselyn Sánchez
Milenio TV,Josué Becerra
Radio Fórmula,Juan Becerra
Ruta,Juan José Caballero
Ruta,Juan Manuel Aguirre
Es Periodismo,Juan Manuel Cortés
Radio Fórmula,Juan Manuel de Anda
ADN 40,Juan Manuel Jiménez
Vía Libre,Juan Manuel Pérez
ADN 40,Juan Pablo de Leo
Radio Fórmula,Juan Pablo Pérez
Telefórmula,Juan Pablo Pérez
La Silla Rota Hidalgo,Juan Ramírez
El Reportero,Juan Sabino
La Silla Rota Hidalgo,Julieta Gutiérrez
Nuevo Gráfico,Julio Gálvez
Foro TV,Julio Patán
La Razón,Julio Pilotzi
Grito informativo,Juzgue usted
El Sol de Hidalgo,Karen Acitel Lira
El Sol de Hidalgo web,Karen Acitel Lira
El Sol de Tulancingo,Karen Acitel Lira
El Sol de Tulancingo web,Karen Acitel Lira
SDP Noticias,Karen Gabriel Vázquez
Zunoticia,Karen Rivera
Reporte Índigo,Karina Vargas
República ENE,Karla García
Foro TV,Karla Iberia Sánchez
Foro TV,Karla Iberia Sánchez
Info Libre,Kathya Moreno
¡Órale! Magacín,Keila Rodríguez
Info Libre,Keila Rodríguez
El Universal,Kiosko
Effetá,Laura Rivera
Hidalgo Sport,Lauro Campos
TV Azteca,Leo Arriaga
Excélsior,Leo Zuckerman
Foro TV,Leo Zuckerman
ADN 40,Leonardo Curzio
Radio Fórmula,Leonardo Curzio
Telefórmula,Leonardo Curzio
ADN 40,Leonardo Herrera
La Jornada Hidalgo,Leonardo Herrera
Punto por punto,Leonardo Herrera
TV Azteca,Leonardo Herrera
Canal once,Leticia Carbajal
Uno TV,Lidia Rivera
Milenio TV,Liliana Sosa
Telediario,Liliana Sosa
Criterio,Lizania Zavala
Criterio web,Lizania Zavala
Milenio Hidalgo,Lol Canul
El Universal Hidalgo,Lorena Rosas
El Universal Hidalgo web,Lorena Rosas
El Financiero,Lourdes Mendoza
El Universal Hidalgo,Lourdes Naranjo
El Universal Hidalgo web,Lourdes Naranjo
ADN 40,Luciana Wainer
ADN 40,Lucy Bravo
TV Azteca,Lucy Bravo
Uno TV,Luis Érick Ramírez
Desde Abajo,Luis Alberto Rodríguez
MVS Radio,Luis Cárdenas
El Sol de Hidalgo,Luis Carlos León
El Sol de Hidalgo web,Luis Carlos León
Milenio TV,Luis Carlos Ortiz
Criterio,Luis Godínez
Criterio web,Luis Godínez
Heraldo Radio,Lupita Juárez
Heraldo Televisión,Lupita Juárez
Imagen TV,Mónica Noguera
Heraldo Radio,Maca Carriedo
Milenio TV,Magda González
Vía Libre,Manuel Castellanos
Telefórmula,Manuel Feregrino
ADN 40,Manuel López San Martín
MVS Radio,Manuel López San Martín
Heraldo Radio,Manuel Zamacona
ADN 40,Mara Durón
Criterio,María Antonieta Islas
Criterio web,María Antonieta Islas
SDP Noticias,María José Izquierdo
Radio Fórmula,Marco Antonio Mares
Síntesis,Marco Cerón
Síntesis web,Marco Cerón
Criterio,Marco Moreno
Foro TV,Mariana Hernández
Foro TV,Mariana Hernández
24 Horas,Maricarmen Cortés
Radio Fórmula,Maricarmen Cortés
Enfoque Noticias,Mario González
Heraldo Radio,Mario Maldonado
Heraldo Televisión,Mario Maldonado
Effetá,Marisol Flores
Nueva Imagen de Hidalgo,Marisol Martínez
AMX Noticias,Marisol Ordoñez
Nueva Imagen de Hidalgo,Marlene Godínez
Criterio,Martha Sáenz
Criterio web,Martha Sáenz
SDP Noticias,Martha Torres
El Heraldo digital,Matías Domínguez
El Sol de Hidalgo,Mauricio Baños
El Sol de Hidalgo web,Mauricio Baños
El Sol de Tulancingo,Mauricio Baños
El Sol de Tulancingo web,Mauricio Baños
El Hidalgo digital,Mavaz Vega
El Sol de Hidalgo,Maximiliano Pérez
El Sol de Hidalgo web,Maximiliano Pérez
El Sol de México,Maximiliano Pérez
El Sol de Tulancingo,Maximiliano Pérez
El Sol de Tulancingo web,Maximiliano Pérez
La Prensa,Maximiliano Pérez
Radio Fórmula,Michelle Rivera
Criterio,Miguel Ángel Martínez
Criterio web,Miguel Ángel Martínez
Vía Libre,Miguel Ángel Martínez
Milenio Hidalgo,Miguel Ángel Puértolas
La Verdad Hidalgo,Miguel Alburquerque
Subrayado,Mirely Enríquez
El Universal Hidalgo,Miriam Avilés
El Universal Hidalgo web,Miriam Avilés
Telediario,Monserrat Contreras
Hidalgo Hoy,Néstor Ramírez
Red Hidalgo,Néstor Ramírez
SDP Noticias,Nadia Cruz
Nadia Mejía,Nadia Mejía
La Jornada Hidalgo,Nathali González
La Jornada Hidalgo web,Nathali González
La Jornada Hidalgo,Ninde Molre
Foro TV,Noelia Jiménez
Milenio TV,Norma García
Telediario,Norma García
El Sol de Hidalgo,Octavio Jaimes
El Sol de Hidalgo web,Octavio Jaimes
El Sol de Tulancingo,Octavio Jaimes
El Sol de Tulancingo web,Octavio Jaimes
El Sol de Hidalgo,Omar Santiago
El Sol de Hidalgo web,Omar Santiago
El Sol de Tulancingo,Omar Santiago
El Sol de Tulancingo web,Omar Santiago
Plaza Juárez,Oscar Raúl Pérez
Plaza Juárez web,Oscar Raúl Pérez
Central MX,Osvaldo Aréchiga
Central MX web,Osvaldo Aréchiga
TV Azteca,Otoniel Martínez
Amexi,Paloma Pérez
Hora 25,Paloma Pérez
MVS Radio,Pamela Cerdeira
SDP Noticias,Pamela Grande
Milenio TV,Pamela Longoria
Milenio TV,Pamela Villanueva
Milenio TV,Paola Barquet
Telediario,Paola Barquet
Imagen TV,Paola Rojas
Excélsior,Pascal Beltán del Río
Imagen radio,Pascal Beltán del Río
Milenio TV,Pedro Gamboa
Zunoticia,Perseo
¡Órale! Magacín,Piernas de Plata
Info Libre,Piernas de Plata
Enfoque Noticias,Poncho Gutiérrez
Telediario,Priscila Cantú
Quadratín,Ráfagas
La Jornada Hidalgo,Raúl Arroyo
Cambio 21,Rafael Medina
Nota Hidalgo,Rúben Solís
Foro TV,Raymundo Riva Palacio
La Prensa,Red compartida
¡Órale! Magacín,Redacción
24 Horas,Redacción
24 Horas web,Redacción
A tiempo Hidalgo,Redacción
Acción,Redacción
ACI de Hidalgo,Redacción
Acrópolis,Redacción
Agenda hidalguense,Redacción
Al Día Noticias,Redacción
Al Día Noticias web,Redacción
Alas,Redacción
Alfaro Red,Redacción
AM Hidalgo,Redacción
Amaneciendo,Redacción
Antena informativa de Hidalgo,Redacción
Avanzando,Redacción
Avanzando web,Redacción
Bóveda informativa,Redacción
Cambio 21,Redacción
Carbajal Noticias,Redacción
Central Hidalgo,Redacción
Central MX,Redacción
Central MX web,Redacción
Círculo político,Redacción
CN Hidalgo TV,Redacción
Código Hidalgo,Redacción
Contra Réplica,Redacción
Contrapuntos,Redacción
Criterio,Redacción
Criterio web,Redacción
Crónica,Redacción
Cuartel informativo,Redacción
Cumbres de Hidalgo,Redacción
Cumbres de Hidalgo web,Redacción
Cursor en la noticia,Redacción
Desde Abajo,Redacción
Desde la redacción,Redacción
Diario Basta!,Redacción
Diario Minero,Redacción
Diario Noti7,Redacción
Dinámico informativo,Redacción
Dinámico informativo web,Redacción
Dos de Hidalgo,Redacción
Dulce Patria,Redacción
EA Noticias,Redacción
Effetá,Redacción
Eje Central,Redacción
El Bocón,Redacción
El Cardinal,Redacción
El Chapucero,Redacción
El Cuarto Poder,Redacción
El Economista,Redacción
El Gráfico,Redacción
El Heraldo de México,Redacción
El Hidalgo digital,Redacción
El Hidalgo digital,Redacción
El Huarache,Redacción
El Informativo,Redacción
El Informativo estatal,Redacción
El informativo online,Redacción
El Institucional,Redacción
El Nuevo Gráfico de Hidalgo,Redacción
El Nuevo Gráfico de Hidalgo web,Redacción
El Origen,Redacción
El Reconstructor,Redacción
El Reportero,Redacción
El Rollo,Redacción
El Sol de Hidalgo,Redacción
El Sol de Hidalgo web,Redacción
El Sol de México,Redacción
El Sol de Tulancingo,Redacción
El Sol de Tulancingo web,Redacción
El tiempo de Hidalgo,Redacción
El trámite,Redacción
El Universal,Redacción
El Universal Hidalgo,Redacción
El Universal Hidalgo web,Redacción
El Universal web,Redacción
El Vigía Hidalgo,Redacción
Énfasis,Redacción
Enlace en Hidalgo,Redacción
Enlace en Hidalgo web,Redacción
Entorno Noticias,Redacción
Entre líneas,Redacción
Es periodismo,Redacción
Espacio político,Redacción
Espejo,Redacción
Exo Noticias,Redacción
Expediente Ultra,Redacción
Facetas,Redacción
Florentino Peralta,Redacción
Focus Hidalgo,Redacción
Foro 21 Hidalgo,Redacción
Gobernanza,Redacción
Grito informativo,Redacción
Grito informativo web,Redacción
HgOnline,Redacción
Hidalgo brilla,Redacción
Hidalgo diario digital,Redacción
Hidalgo digital,Redacción
Hidalgo Hoy,Redacción
Hidalgo News,Redacción
Hidalgo Noticias Alerta,Redacción
Hidalgo Sport,Redacción
Hidal-GO!,Redacción
Hora 25,Redacción
Huastecas News,Redacción
Info Hgo,Redacción
Info Libre,Redacción
Info Libre manteleta,Redacción
Jacala Multimedios,Redacción
La Espina,Redacción
La Jornada,Redacción
La Jornada Hidalgo,Redacción
La Jornada Hidalgo web,Redacción
La Jornada web,Redacción
La Neta,Redacción
La Opinión de Hidalgo,Redacción
La política me da risa,Redacción
La Razón,Redacción
La Razón Huejutla,Redacción
La Razón web,Redacción
La Región,Redacción
La Región web,Redacción
La Tuza Metiche,Redacción
La Verdad Hidalgo,Redacción
Libre Expression del Estado de Hidalgo,Redacción
Líderes políticos,Redacción
Línea x línea,Redacción
López Dóriga digital,Redacción
Milenio,Redacción
Milenio Hidalgo,Redacción
Milenio web,Redacción
Mira Hidalgo,Redacción
News Hidalgo,Redacción
Noticiero Retrovisor,Redacción
NQ radio web,Redacción
Nueva Imagen de Hidalgo,Redacción
Nueva Imagen de Hidalgo web,Redacción
Nuevo Gráfico,Redacción
Omnia,Redacción
Origen y destino,Redacción
Pachuca brilla,Redacción
Pachuca digital,Redacción
Pachuca Vive,Redacción
Panorama Hidalgo,Redacción
Paradigma,Redacción
Pensador hidalguense,Redacción
Plaza Juárez,Redacción
Plaza Juárez web,Redacción
Plétora Lex,Redacción
Plétora Lex web,Redacción
Plural Hidalgo,Redacción
Portal Hidalgo,Redacción
Publimedios Móvil,Redacción
Pulso,Redacción
Punto por punto,Redacción
Punto Rojo,Redacción
Quadratín,Redacción
Qué Pachuca,Redacción
Radar político,Redacción
Red Hidalgo,Redacción
Regeneradoz,Redacción
Reporte Ágora,Redacción
Reporte cívico,Redacción
Reporte Hidalgo,Redacción
Reporte Índigo,Redacción
Reporte Índigo web,Redacción
República ENE,Redacción
Revista De Frente,Redacción
Revista Diferente,Redacción
Revista Luna Negra,Redacción
Revista Portavoz,Redacción
Ruta,Redacción
Ruta web,Redacción
Sanfe radio,Redacción
Satélite TV,Redacción
SeptiNoticias,Redacción
Sin Filtro,Redacción
Síntesis,Redacción
Síntesis web,Redacción
Solución,Redacción
Sonder Radio,Redacción
Subrayado,Redacción
Suma Noticias,Redacción
Super Stereo web,Redacción
Tiempo Express,Redacción
Trapiche,Redacción
Trasfondo,Redacción
Tulancingo digital,Redacción
Uno TV,Redacción
Veta Hidalgo,Redacción
Vía Libre,Redacción
Vocales radio web,Redacción
Voces Hidalgo,Redacción
Wakeup radio,Redacción
Zagazine,Redacción
Zócalo virtual,Redacción
Zócalo web,Redacción
Zucesos de las Huastecas,Redacción
Zunoticia,Redacción
Zunoticia web,Redacción
El Universal Hidalgo,Ricardo Calleja
El Universal Hidalgo web,Ricardo Calleja
La Jornada Hidalgo,Ricardo Castillo
La Jornada Hidalgo web,Ricardo Castillo
ADN 40,Ricardo Raphael
Milenio TV,Roberto López
Zunoticia,Roberto Ramírez
TV Azteca,Roberto Ruiz
SDP Noticias,Rodrigo Ek
Milenio TV,Rodrigo Rico
Telediario,Rodrigo Rico
El Economista,Rodrigo Rosales
El Economista,Rolando Ramos
ADN 40,Romina Ramos
Effetá,Rosa Gabriela Porter
Effetá,Rosa Gabriela Porter
El Sol de Hidalgo,Rosalía Maldonado
El Sol de Hidalgo web,Rosalía Maldonado
El Sol de Tulancingo,Rosalía Maldonado
El Sol de Tulancingo web,Rosalía Maldonado
Dos de Hidalgo,Roylán Portes
La Razón,Rozones
Telediario,Rubén Carreón
El Sol de Tulancingo,Rubén Juárez
El Sol de Tulancingo web,Rubén Juárez
El Sol de Hidalgo,Rub n Ju rez
El Sol de Hidalgo web,Rub n Ju rez
Criterio,Saúl Hernández
Criterio web,Saúl Hernández
El Heraldo de México,Sacapuntas
Foro TV,Said Ochoa
Criterio,Salomón Hernández
Criterio web,Salomón Hernández
Zunoticia,Salvador Altamirano
Milenio TV,Samuel Cuervo
Ruta,Sandra Pérez
Ruta web,Sandra Pérez
AM Hidalgo,Sandra Salazar
Info Libre,Sandy Franco
Foro TV,Santos Mondrag n
Criterio,Sara Elizondo
Criterio web,Sara Elizondo
ADN 40,Sarahi Uribe
Milenio Hidalgo,Sarkis Mikel Jeitani
Criterio,Se dice…
Criterio,Se dice… regional
Heraldo Radio,Selene Flores
Milenio TV,Selene Flores
Heraldo Radio,Sergio Sarmiento
La Jornada Hidalgo,Simey Olvera
La Opinión de Hidalgo,Siomara Villarreal
La Jornada Hidalgo,Socorro Ávila
La Jornada Hidalgo web,Socorro Ávila
El Heraldo de México,Sofía García
Heraldo Televisión,Sofía García
Marfeca,Sofía González
El Sol de Hidalgo,Sonia Nochebuena
El Sol de Hidalgo web,Sonia Nochebuena
El Sol de México,Sonia Nochebuena
El Sol de Tulancingo,Sonia Nochebuena
El Sol de Tulancingo web,Sonia Nochebuena
La Silla Rota Hidalgo,Susana Jiménez
Telefórmula,Susana Sáenz
Milenio TV,Tania Díaz
ADN 40,Tania Gómez
Milenio Hidalgo,Teodoro Santos
Milenio web,Teodoro Santos
Plaza Juárez,Tic-Tac
Milenio,Trascendió
Milenio TV,Víctor González
Milenio TV,Víctor Hugo Michel
Milenio TV,Víctor Martínez
El Heraldo de México,Víctor Sánchez Baños
El Sol de Hidalgo,Víctor Serrano
El Sol de Hidalgo web,Víctor Serrano
Info Libre,Víctor Valera
Milenio,Víctor Valera
Milenio Hidalgo,Víctor Valera
Milenio web,Víctor Valera
ADN 40,Vaiteare Mateos
TV Azteca,Vaitiare Mateos
ADN 40,Valentina Rodríguez
ADN 40,Valentina Rodríguez
ADN 40,Valentina Rodríguez
El Reconstructor,Vaz Maha
Síntesis,Veida Martínez Miranda
Síntesis web,Veida Martínez Miranda
La Silla Rota Hidalgo,Verónica Ángeles
Plétora Lex,Verónica Ángeles
Plétora Lex web,Verónica Ángeles
Énfasis,Verónica Jiménez
